,index,size,option,root,dtx,expiry_date,strike,pc,price,theo,side,exch,date,date_time,volume,cond,ivol,ivol_chg,delta,spot,spot_chg,vega_dollar,cond_extra,hilo,events,bid,ask,open_int,bid_exch,bid_size,ask_size,ask_exch
29,236,1000,KURA221021C00015000,KURA,22,2022-10-21,15.0,C,0.65,1.62219,-1,PHLX,2022-09-29,2022-09-29 15:33:32.460000-04:00,1000,FLR,0.841358,-0.306052,0.386317,13.24,-0.19,1274.0,OPENING,,,0.5,3.5,54,ARCA,4.0,188.0,PHLX
30,241,1000,SILK221118C00050000,SILK,50,2022-11-18,50.0,C,2.75,3.00856,-1,BOX,2022-09-29,2022-09-29 15:57:41.167000-04:00,3000,AUCT,0.576739,0.033245,0.42496,46.7863,-1.15372,6782.0,OPENING,,,2.55,4.8,3,MPRL,15.0,25.0,AMEX
31,252,664,SHOO221118P00025000,SHOO,49,2022-11-18,25.0,P,1.49,1.3893,1,CBOE,2022-09-30,2022-09-30 09:40:31.632000-04:00,800,AUCT,0.599155,0.057132,-0.338621,26.6304,-1.63961,2380.0,OPENING,,,1.2,1.55,66,PHLX,77.0,47.0,MIAX
32,272,10000,FMX221118C00065000,FMX,49,2022-11-18,65.0,C,2.35,2.3242,2,PHLX,2022-09-30,2022-09-30 11:08:03.203000-04:00,10911,FLR,0.410875,0.087084,0.390175,62.06,0.76,86786.0,OPENING,,,2.3,2.35,0,ISE,427.0,34.0,MPRL
33,296,5000,FL221118P00025000,FL,49,2022-11-18,25.0,P,0.68,0.624011,1,[AMEX],2022-09-30,2022-09-30 12:44:54.585000-04:00,5001,FLR,0.722075,0.02236,-0.144193,32.26,-0.44,13308.0,OPENING,,,0.55,0.7,610,AMEX,376.0,160.0,PHLX
34,298,10000,RC221118P00010000,RC,49,2022-11-18,10.0,P,0.64,0.582349,1,MIAX,2022-09-30,2022-09-30 12:49:42.243000-04:00,10000,AUCT,0.543418,0.014963,-0.39539,10.265,0.515028,14538.0,OPENING,,,0.5,0.65,1,NOM,1.0,103.0,MPRL
35,299,1063,RC221118P00010000,RC,49,2022-11-18,10.0,P,0.65,0.624684,2,[MULTI],2022-09-30,2022-09-30 12:50:30.710000-04:00,11063,,0.553012,0.024557,-0.393962,10.275,0.525,1545.0,OPENING,,,0.6,0.65,1,PHLX,100.0,100.0,MPRL
36,301,5000,ARI221118P00007500,ARI,49,2022-11-18,7.5,P,0.468716,0.403468,1,[ISE],2022-09-30,2022-09-30 12:50:54.169000-04:00,5003,AUCT,0.730588,-0.026486,-0.276459,8.40501,0.045005,5180.0,OPENING,,,0.3,0.5,123,AMEX,2.0,38.0,PHLX
37,302,5000,ARI221118P00007500,ARI,49,2022-11-18,7.5,P,0.46,0.401299,1,ISE,2022-09-30,2022-09-30 12:51:13.785000-04:00,10003,AUCT,0.744481,-0.012593,-0.281464,8.385,0.025,5212.0,OPENING,,,0.3,0.5,123,AMEX,2.0,47.0,PHLX
38,326,10000,DNA221118P00006000,DNA,49,2022-11-18,6.0,P,2.93,2.9124,-1,AMEX,2022-09-30,2022-09-30 15:00:35.776000-04:00,10000,TIED/FLR,1.15404,-0.109667,-0.912237,3.105,-0.025,1769.0,OPENING,,,2.85,3.1,4000,BOX,39.0,914.0,PHLX
39,328,500,ACCD221021P00010000,ACCD,21,2022-10-21,10.0,P,0.41,0.470736,-1,[BOX],2022-09-30,2022-09-30 15:07:49.266000-04:00,500,FLR,1.05945,-0.081633,-0.230559,11.635,-0.885,425.0,OPENING,,,0.4,0.55,275,PHLX,76.0,75.0,PHLX
40,344,500,ACCD221021P00010000,ACCD,21,2022-10-21,10.0,P,0.45,0.487453,-1,BOX,2022-09-30,2022-09-30 15:33:08.653000-04:00,1000,FLR,0.978037,-0.163043,-0.251641,11.335,-1.185,435.0,OPENING,,,0.4,0.55,275,PHLX,212.0,14.0,BXO
41,351,875,JEF221118P00027500,JEF,49,2022-11-18,27.5,P,1.1,1.02912,2,[MULTI],2022-09-30,2022-09-30 15:59:00.001000-04:00,875,,0.453243,0.029306,-0.319976,29.465,0.365,3352.0,OPENING,,,0.95,1.1,227,C2,10.0,293.0,AMEX
